Parent Company,Quarter ,Lobbying Expenditure ,Number of Lobbyists
Delta Air Lines,2019 Q3,980000,37
Delta Air Lines,2019 Q4,950000,37
Delta Air Lines,2020 Q1,1240000,36
Delta Air Lines,2020 Q2,1050000,36
American Airlines ,2019 Q3,1290000,37
American Airlines ,2019 Q4,1290000,37
American Airlines ,2020 Q1,1410000,46
American Airlines ,2020 Q2,1080000,46
United Airlines Holdings ,2019 Q3,860000,32
United Airlines Holdings ,2019 Q4,920000,32
United Airlines Holdings ,2020 Q1,1340000,31
United Airlines Holdings ,2020 Q2,740000,31
Southwest Airlines,2019 Q3,310000,15
Southwest Airlines,2019 Q4,310000,15
Southwest Airlines,2020 Q1,420000,15
Southwest Airlines,2020 Q2,300000,15
