date,company,amount
09/30/2012,Delta Air Lines,0
12/31/2012,Delta Air Lines,0
03/31/2013,Delta Air Lines,0
06/30/2013,Delta Air Lines,0
09/30/2013,Delta Air Lines,93
12/31/2013,Delta Air Lines,157
03/31/2014,Delta Air Lines,125
06/30/2014,Delta Air Lines,225
09/30/2014,Delta Air Lines,250
12/31/2014,Delta Air Lines,500
03/31/2015,Delta Air Lines,425
06/30/2015,Delta Air Lines,925
09/30/2015,Delta Air Lines,425
12/31/2015,Delta Air Lines,425
03/31/2016,Delta Air Lines,775
06/30/2016,Delta Air Lines,1062
09/30/2016,Delta Air Lines,500
12/31/2016,Delta Air Lines,300
03/31/2017,Delta Air Lines,200
06/30/2017,Delta Air Lines,600
09/30/2017,Delta Air Lines,550
12/31/2017,Delta Air Lines,327
03/31/2018,Delta Air Lines,325
06/30/2018,Delta Air Lines,600
09/30/2018,Delta Air Lines,325
12/31/2018,Delta Air Lines,325
03/31/2019,Delta Air Lines,1325
06/30/2019,Delta Air Lines,268
09/30/2019,Delta Air Lines,209
12/31/2019,Delta Air Lines,225
03/31/2020,Delta Air Lines,344
09/30/12,American Airlines,0
12/31/12,American Airlines,0
03/31/13,American Airlines,0
06/30/13,American Airlines,0
09/30/13,American Airlines,0
12/31/13,American Airlines,0
03/31/14,American Airlines,84
06/30/14,American Airlines,-56
09/30/14,American Airlines,127
12/31/14,American Airlines,907
03/31/15,American Airlines,181
06/30/15,American Airlines,750
09/30/15,American Airlines,1480
12/31/15,American Airlines,1435
03/31/16,American Airlines,1520
06/30/16,American Airlines,1711
09/30/16,American Airlines,695
12/31/16,American Airlines,569
03/31/17,American Airlines,484
06/30/17,American Airlines,529
09/30/17,American Airlines,359
12/31/17,American Airlines,243
03/31/18,American Airlines,461
06/30/18,American Airlines,376
09/30/18,American Airlines,0
12/31/18,American Airlines,-837
03/31/19,American Airlines,608
06/30/19,American Airlines,17
09/30/19,American Airlines,200
12/31/19,American Airlines,272
03/31/20,American Airlines,0
09/30/12,United Airlines,0
12/31/12,United Airlines,0
03/31/13,United Airlines,0
06/30/13,United Airlines,0
09/30/13,United Airlines,0
12/31/13,United Airlines,0
03/31/14,United Airlines,0
06/30/14,United Airlines,0
09/30/14,United Airlines,220
12/31/14,United Airlines,92
03/31/15,United Airlines,195
06/30/15,United Airlines,250
09/30/15,United Airlines,265
12/31/15,United Airlines,523
03/31/16,United Airlines,1392
06/30/16,United Airlines,790
09/30/16,United Airlines,260
12/31/16,United Airlines,172
03/31/17,United Airlines,258
06/30/17,United Airlines,454
09/30/17,United Airlines,579
12/31/17,United Airlines,553
03/31/18,United Airlines,529
06/30/18,United Airlines,440
09/30/18,United Airlines,-969
12/31/18,United Airlines,1235
03/31/19,United Airlines,0
06/30/19,United Airlines,1062
09/30/19,United Airlines,369
12/31/19,United Airlines,214
03/31/20,United Airlines,353
09/30/12,Southwest Airlines,50
12/31/12,Southwest Airlines,75
03/31/13,Southwest Airlines,100
06/30/13,Southwest Airlines,251
09/30/13,Southwest Airlines,150
12/31/13,Southwest Airlines,39
03/31/14,Southwest Airlines,315
06/30/14,Southwest Airlines,240
09/30/14,Southwest Airlines,200
12/31/14,Southwest Airlines,200
03/31/15,Southwest Airlines,300
06/30/15,Southwest Airlines,380
09/30/15,Southwest Airlines,500
12/31/15,Southwest Airlines,0
03/31/16,Southwest Airlines,500
06/30/16,Southwest Airlines,700
09/30/16,Southwest Airlines,250
12/31/16,Southwest Airlines,300
03/31/17,Southwest Airlines,550
06/30/17,Southwest Airlines,400
09/30/17,Southwest Airlines,300
12/31/17,Southwest Airlines,350
03/31/18,Southwest Airlines,500
06/30/18,Southwest Airlines,500
09/30/18,Southwest Airlines,500
12/31/18,Southwest Airlines,500
03/31/19,Southwest Airlines,500
06/30/19,Southwest Airlines,450
09/30/19,Southwest Airlines,599
12/31/19,Southwest Airlines,550
03/31/20,Southwest Airlines,451
